"";"hb_author";"hb_university";"hb_age";"hb_subject";"hb_age_today";"hb_vwl2015_u40_rank";"hb_vwl2015_u40_score";"hb_vwl2015_cr_rank";"hb_vwl2015_cr_score";"hb_vwl2015_lw_rank";"hb_vwl2015_lw_score";"hb_bwl2014_u40_rank";"hb_bwl2014_u40_score";"hb_bwl2014_lw_rank";"hb_bwl2014_lw_score";"hb_bwl2014_cr_rank";"hb_bwl2014_cr_score";"hb_vwl2013_u40_rank";"hb_vwl2013_u40_score";"hb_vwl2013_cr_rank";"hb_vwl2013_cr_score";"hb_vwl2013_lw_rank";"hb_vwl2013_lw_score";"hb_bwl2012_u40_rank";"hb_bwl2012_u40_score";"hb_bwl2012_cr_rank";"hb_bwl2012_cr_score";"hb_bwl2012_lw_rank";"hb_bwl2012_lw_score";"hb_vwl2011_u40_rank";"hb_vwl2011_u40_score";"hb_vwl2011_cr_rank";"hb_vwl2011_cr_score";"hb_vwl2011_lw_rank";"hb_vwl2011_lw_score";"hb_vwl2010_u40_rank";"hb_vwl2010_u40_score";"hb_vwl2010_cr_rank";"hb_vwl2010_cr_score";"hb_vwl2010_lw_rank";"hb_vwl2010_lw_score";"hb_bwl2009_u40_rank";"hb_bwl2009_u40_score";"hb_bwl2009_cr_rank";"hb_bwl2009_cr_score";"hb_bwl2009_lw_rank";"hb_bwl2009_lw_score";"rp_rank";"rp_author";"rp_average_rank_score";"rp_aabs.views_rank";"rp_aabs.views_score";"rp_abs.views_rank";"rp_abs.views_score";"rp_ad.cites_rank";"rp_ad.cites_score";"rp_adown.loads_rank";"rp_adownloads_score";"rp_adsc.cites_rank";"rp_adsc.cites_score";"rp_affiliation";"rp_anb.cites_rank";"rp_anb.cites_score";"rp_anb.pages_rank";"rp_anb.pages_score";"rp_anb.works_rank";"rp_anb.works_score";"rp_asc.cites_rank";"rp_asc.cites_score";"rp_asc.pages_rank";"rp_asc.pages_score";"rp_asc.works_rank";"rp_asc.works_score";"rp_awdsc.cites_rank";"rp_awdsc.cites_score";"rp_awsc.cites_rank";"rp_awsc.cites_score";"rp_awsc.pages_rank";"rp_awsc.pages_score";"rp_awsc.works_rank";"rp_awsc.works_score";"rp_bet.weenn_rank";"rp_between_score";"rp_close_rank";"rp_close_score";"rp_d.cites_rank";"rp_d.cites_score";"rp_dnb.works_rank";"rp_dnb.works_score";"rp_down.loads_rank";"rp_downloads_score";"rp_dsc.cites_rank";"rp_dsc.cites_score";"rp_h.index_rank";"rp_h.index_score";"rp_nb.cites_rank";"rp_nb.cites_score";"rp_nb.pages_rank";"rp_nb.pages_score";"rp_nb.works_rank";"rp_nb.works_score";"rp_ncau.thors_rank";"rp_ncauthors_score";"rp_nep.cites_rank";"rp_nep.cites_score";"rp_rcau.thors_rank";"rp_rcauthors_score";"rp_sc.cites_rank";"rp_sc.cites_score";"rp_sc.pages_rank";"rp_sc.pages_score";"rp_sc.works_rank";"rp_sc.works_score";"rp_stu.dents_rank";"rp_students_score";"rp_wdsc.cites_rank";"rp_wdsc.cites_score";"rp_wsc.cites_rank";"rp_wsc.cites_score";"rp_wsc.pages_rank";"rp_wsc.pages_score";"rp_wsc.works_rank";"rp_wsc.works_score";"gs_id";"gs_author";"gs_affiliation";"gs_total_cites";"gs_h_index";"gs_i_index";"gs_fields";"gs_citation_2015";"gs_citation_2014";"gs_citation_2013";"gs_citation_2012";"gs_citation_2011";"gs_citation_2010";"gs_citation_2009";"gs_citation_2008";"gs_citation_2007";"rp_age_estimated";"age_combined";"subject_fields";"hb_commonscore"
"569";"hb_author_569";"Freiburg Uni";48;"Wirtschaftspolitik; Politische ÷konomie; Finanzwissenschaft";48;NA;NA;NA;NA;191;5,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;206;4,46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;141;4,08;NA;NA;NA;NA;131;NA;NA;NA;NA;NA;NA;NA;931;"rp_author_78";901,3;539;2535,35;371;5335;1398;153,23;596;652,17;2021;281,3;"Walter Eucken Institut, Freiburg, Germany";1435;623,75;403;993,14;520;110,87;2174;3631,9;2413;NA;2510;NA;2169;51,67;2388;NA;3529;NA;3329;NA;313;12,81;314;4,5;1119;303,37;359;151;379;1445;1717;556,49;859;18;1175;1194;267;1614;354;222;1550;587;1266;78,3;1633;436,35;1873;6977,78;1922;9142,68;2062;919,36;934;929,84;1897;102,37;2089;298,15;3036;NA;2773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;48;"E";5,17
"570";"hb_author_570";"Frankfurt / Main Uni";36;"Organisation, Internationales Management";42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;2,92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;2,18;106;2,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42;"L";NA
"571";"hb_author_571";"Trier Uni";49;"Rechtsˆkonomie, Arbeitsmarktˆkonomie";50;NA;NA;NA;NA;NA;NA;NA;NA;28;11,21;76;3,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;8,83;NA;NA;NA;NA;111;4,69;NA;NA;NA;NA;111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;"K";11,6835135135135
"572";"hb_author_572";"Paderborn Uni";61;"Wirtschaftsinformatik & Informationsmanagement";62;NA;NA;NA;NA;NA;NA;NA;NA;242;4,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;213;3,98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;"D";4,4027027027027
"573";"hb_author_573";"Konstanz Uni";45;"Arbeitsmarktˆkonomie";45;NA;NA;NA;NA;137;6,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;156;5,28;NA;NA;NA;NA;NA;NA;NA;NA;76;2,13;99;4,98;NA;NA;74;1,98;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"fVe_oqAAAAAJ";"gs_author_283";NA;732;13;19;"macroeconomics, labor markets";99;125;100;76;82;37;20;25;NA;NA;45;"J";6,08
"574";"hb_author_574";"Berlin ESMT";35;"Technologie- und Innovationsmanagement, Strategic Management, Unternehmenstheorie und -politik";36;NA;NA;NA;NA;NA;NA;13;5,52;163;5,52;74;3,37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"vUN2e88AAAAJ";"gs_author_284";NA;2816;16;19;"innovation, collaboration, networks";476;546;487;402;301;180;134;88;NA;NA;36;"O";5,60905405405405
"575";"hb_author_575";"Lausanne Uni";38;"Experimentelle Wirtschaftsforschung, Arbeitsmarktˆkonomie";42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;2,15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42;"O";NA
"576";"hb_author_576";"Innsbruck Uni";34;"Verhaltensˆkonomie; Spieltheorie; Politische ÷konomie";34;46;2,43;65;2,43;NA;NA;NA;NA;NA;NA;NA;NA;72;1,85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;"D";NA
"577";"hb_author_577";"Berlin ESMT (European School of Management and Technology)";NA;"Marketing";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;118;2;68;6,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"zYNpdtgAAAAJ";"gs_author_285";"Georgetown University McDonough School of Business";1127;16;20;"behavioral economics, marketing, consumer behavior, behavioral decision theory";158;147;140;120;74;79;70;56;NA;NA;NA;"M";NA
"578";"hb_author_578";"Z¸rich ETH";NA;"Umwelt- und Ressourcenˆkonomie; Internationale ÷konomie";NA;NA;NA;67;2,42;250;4,32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;296;3,35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Q";4,32
"579";"hb_author_579";"Dortmund Uni";41;"angewandte Makroˆkonomie";46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;227;2,9;NA;NA;98;1,72;223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46;"E";NA
"580";"hb_author_580";"M¸nchen LMU";41;"Wirtschaftspolitik; Wirtschaftsgeschichte; Wachstums- und Verteilungstheorie";41;NA;NA;57;2,63;102;6,84;NA;NA;NA;NA;NA;NA;NA;NA;27;3,41;105;6,33;NA;NA;NA;NA;NA;NA;5;4,77;43;2,53;106;4,77;12;3,57;40;2,69;145;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"cPvC7T8AAAAJ";"gs_author_286";"University of Munich; Ifo Institute";14045;53;101;"economics of education, growth economics, development economics, economics of innovation, economic history";2172;1655;1260;727;2172;1655;1260;727;NA;NA;41;"O";6,84
"581";"hb_author_581";"DIW Berlin";56;"Internationale ÷konomie; Bankbetriebslehre & Finanzierung";56;NA;NA;79;2,33;68;8,4;NA;NA;NA;NA;NA;NA;NA;NA;23;3,61;62;8,35;NA;NA;NA;NA;NA;NA;NA;NA;24;3,16;57;6,64;NA;NA;45;2,51;79;NA;NA;NA;NA;NA;NA;NA;1187;"rp_author_79";1135,65;510;2611,33;522;4451;1751;126,43;327;887,33;2330;NA;"DIW Berlin (Deutsches Institut f¸r Wirtschaftsforschung), Berlin, Germany";2099;442,5;697;817,41;673;100,41;2764;NA;1546;7318,71;1691;700,92;2695;NA;3034;NA;2368;NA;2794;NA;324;12,53;885;4,65;1587;226,92;879;107;389;1426;1983;483,33;1621;14;1909;764;539;1261;723;169;2228;436;2148;70,23;2452;NA;2484;NA;1127;13418;1270;1288,71;1316;1281,24;2242;85,86;2741;NA;1702;485,1;2157;46,67;"gYKhEAUAAAAJ";"gs_author_287";NA;3795;33;67;"international finance, development economics";385;538;506;387;349;256;287;212;NA;58;56;"F";8,4
"582";"hb_author_582";"Regensburg Uni";43;"Finanzmarkttheorie; Aussenwirtschaftstheorie und -politik";43;NA;NA;NA;NA;216;4,83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;202;4,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;133;4,25;9;3,85;NA;NA;129;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43;"G";4,83
"583";"hb_author_583";"University of North Carolina at Chapel Hill";50;"theoretische Makroˆkonomie; angewandte Makroˆkonomie";50;NA;NA;NA;NA;98;6,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;6,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"U_pebqMAAAAJ";"gs_author_288";"UNC Chapel Hill";814;14;19;"human capital, economic growth, inequality";73;90;86;62;45;53;60;65;NA;NA;50;"E";6,9
"584";"hb_author_584";"Berlin HU";NA;"Marketing";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;238;3,58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;145;4,14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"M";NA
"585";"hb_author_585";"Koblenz/Vallendar WHU";49;"Strategic Management, Unternehmenstheorie und -politik, Beschaffung";50;NA;NA;NA;NA;NA;NA;NA;NA;72;8,11;20;5,06;NA;NA;NA;NA;NA;NA;NA;NA;82;2,89;122;5,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;"M";8,37405405405405
"586";"hb_author_586";"University of Michigan";51;"Oekonometrie; angewandte Makrooekonomie";51;NA;NA;9;4,8;14;15,53;NA;NA;NA;NA;NA;NA;NA;NA;4;5,88;15;14,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;191;"rp_author_80";188,81;86;6220,92;74;10530;100;825,1;40;2568,83;118;2201,98;"Economics Department, University of Michigan, Ann Arbor, Michigan (USA)";181;2521,33;445;959,25;741;97,58;230;22969,6;320;18744,9;275;2068,17;149;399,16;288;1025,13;329;913,76;321;109,23;334;12,4;469;4,56;131;1178,82;879;107;34;4185;153;3157,3;124;31;225;3589;345;1469;392;215;312;1619;1130;79,41;326;1217,85;289;33009,3;266;29145,2;217;3313,62;2590;NA;201;571,61;360;1470,85;271;1433,82;251;175,88;"ND_WxhQAAAAJ";"gs_author_289";"University of Michigan";12547;50;72;"time series econometrics, empirical macroeconomics, energy economics";1753;1928;1727;1306;1201;833;801;554;NA;52;51;"C";15,53
"587";"hb_author_587";"Berlin HU";37;"theoretische Makroˆkonomie, angewandte Makroˆkonomie";42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;1,73;NA;NA;NA;NA;48;1,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42;"E";NA
"588";"hb_author_588";"Wien Uni";52;"Spieltheorie; Industrieˆkonomie";52;NA;NA;82;2,3;41;10,1;NA;NA;NA;NA;NA;NA;NA;NA;110;1,98;53;8,85;NA;NA;NA;NA;NA;NA;NA;NA;48;2,46;29;8,78;NA;NA;33;2,83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;"C";10,1
"589";"hb_author_589";"Cass Business School / City University London";37;"-";37;21;3,18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;1,93;97;1,78;NA;NA;96;1,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"o7EhO8sAAAAJ";"gs_author_290";"City University London";1103;13;15;"international finance, empirical asset pricing, investments";230;293;228;139;97;46;27;NA;NA;NA;37;"F";NA
"590";"hb_author_590";"University of Bath";39;"Umweltwirtschaft / Nachhaltigkeitsmanagement; Umwelt- und Ressourcenˆkonomie";39;94;1,81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1p-4Z14AAAAJ";"gs_author_291";"National Institututes of Health";9208;43;67;"biological information theory";399;442;512;510;469;551;525;537;NA;NA;39;"Q";NA
"591";"hb_author_591";"Henan University";36;"Internationale ÷konomie; Geldtheorie und -politik; angewandte Makroˆkonomie";36;72;2,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"8gdM2JcAAAAJ";"gs_author_292";"Henan University";126;6;3;"applied macroeconomics";35;29;24;9;7;6;5;4;NA;NA;36;"E";NA
"592";"hb_author_592";"Aachen RWTH";47;"Unternehmertum";48;NA;NA;NA;NA;NA;NA;NA;NA;77;7,9;6;6,93;NA;NA;NA;NA;NA;NA;NA;NA;8;6,07;82;6,66;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48;"L";8,14986486486487
"593";"hb_author_593";"Hamburg Uni";35;"Produktion, Operations Research, Logistik";36;NA;NA;NA;NA;NA;NA;6;6,58;118;6,58;70;3,47;NA;NA;NA;NA;NA;NA;7;6,3;14;5,59;94;6,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;4,1;16;4,1;148;4,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;"L";6,74067567567568
